name,BaC,Ctv,LaV,Lig,PtC,PtP,SLG,SnE,SnF,SnI,StR,TsS,CP,LF,PL,SenBas,Seri,SG,SI,SN,TS
StR,6.766322,24.029121404041746,23.469879792553616,9.026984,11.93834,28.249779309413096,23.841141657768258,7.570517,21.98244675129437,7.665717,0.0,10.13719,23.40282480839575,23.116836414620003,22.680347340905552,9.111798,27.487105295076834,24.35957153818688,27.524006450174802,27.904679774729402,23.565588970719894
TsS,27.635335064545398,21.60235291566425,8.267106,12.80184,12.58404,23.3904607440797,22.773788806392705,9.94686,26.36664789906385,21.78424003944087,10.13719,0.0,26.268175252083196,25.926846056996865,23.52698204236445,26.801128667369213,23.34810240512464,25.838313390705515,26.6050761142853,22.600217474500788,25.066431979047188
CP,26.35827388312645,24.026859635211604,27.230871784312654,27.629493941190795,23.811360287664556,24.513529458502493,21.510913303305323,25.681049615093347,23.070325711694643,26.095501583194043,23.40282480839575,26.268175252083196,0.0,28.013477806995134,22.04523516047873,24.353057135375696,2.773351,3.988562,26.253227476515335,4.143565,4.269119
LF,26.330422071617058,22.155057552521225,27.669388197841712,25.215379178820566,21.857133152801815,27.910420387937002,24.203370184108877,24.297108671890808,27.210865736898683,23.914731286376185,23.116836414620003,25.926846056996865,28.013477806995134,0.0,2.418533,22.725541267276462,25.10915504003178,2.854111,3.127624,25.837099802756846,22.055189057651603
PL,23.94524759486797,27.61994173588094,21.746013997854075,26.620554025951932,24.147421060575745,21.714389916070946,23.667072728350306,27.491107939054153,23.485006452669754,24.18808013650723,22.680347340905552,23.52698204236445,22.04523516047873,2.418533,0.0,9.17615,22.269592464521075,3.533888,2.915417,4.867766,27.45438765014331
SenBas,26.916810270079644,6.50686,21.78363201735506,27.236161568858016,13.98413,6.568057,28.315667142458114,25.690075889759623,28.217154378373912,27.918460378937898,9.111798,26.801128667369213,24.353057135375696,22.725541267276462,9.17615,0.0,27.028772872313763,21.587988141857466,23.086420294598238,27.288366491094813,21.996217722544415
Seri,22.409636782774818,26.719356927112926,25.003448805176955,23.194860870782577,25.34939678263487,28.416723810772325,24.21467458186012,22.70821798476121,28.12376874937303,27.31966569537639,27.487105295076834,23.34810240512464,2.773351,25.10915504003178,22.269592464521075,27.028772872313763,0.0,3.414492,26.66824534663262,3.569675,26.18717334985836
SG,24.860100964599777,25.35998735247943,27.22858222649701,25.580649327322647,25.79079927840981,23.930856825874578,26.911212062760697,21.344526931675396,23.838492750165464,26.476270572695952,24.35957153818688,25.838313390705515,3.988562,2.854111,3.533888,21.587988141857466,3.414492,0.0,3.837508,27.477050233757872,27.472768563491194
SI,22.753172962762985,24.709543875934827,28.333857166461797,23.09378373586862,26.22744223772627,25.058633965277387,24.947219352986227,25.482414500209877,24.24768808737146,21.572418993313235,27.524006450174802,26.6050761142853,26.253227476515335,3.127624,2.915417,23.086420294598238,26.66824534663262,3.837508,0.0,4.87534,4.558169
SN,21.456074322389544,24.16690178908778,24.110712630916925,22.135195336860335,23.167515530832564,28.096796443314936,24.308094396273912,22.016651926247906,24.569905399264364,22.116585148618544,27.904679774729402,22.600217474500788,4.143565,25.837099802756846,4.867766,27.288366491094813,3.569675,27.477050233757872,4.87534,0.0,4.672005
TS,27.66896172222699,23.769115388382463,26.850705755064087,26.30639604213367,28.213964844214853,27.201384127540923,26.163275246842147,28.04943580077654,21.948018263394786,26.769237219142944,23.565588970719894,25.066431979047188,4.269119,22.055189057651603,27.45438765014331,21.996217722544415,26.18717334985836,27.472768563491194,4.558169,4.672005,0.0
